!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.75564100000e+003, +1.98089791592e+001, +8.55576079792e+001, +1.79035768425e-003, +1.53433829054e+000
+1.76852000000e+003, +1.99501896244e+001, +8.55380087865e+001, +1.78994179650e-003, +1.55207976547e+000
+1.78149500000e+003, +2.00926546053e+001, +8.55185901966e+001, +1.78954678497e-003, +1.56995225943e+000
+1.79456400000e+003, +2.02358878780e+001, +8.54991592027e+001, +1.78913079277e-003, +1.58798550377e+000
+1.80773000000e+003, +2.03802794476e+001, +8.54790866054e+001, +1.78872403738e-003, +1.60643421438e+000
+1.82099200000e+003, +2.05259927242e+001, +8.54590896621e+001, +1.78834331372e-003, +1.62506120810e+000
+1.83435100000e+003, +2.06724093048e+001, +8.54384684288e+001, +1.78793190709e-003, +1.64406985346e+000
+1.84780900000e+003, +2.08200796366e+001, +8.54179918886e+001, +1.78753773168e-003, +1.66323109497e+000
+1.86136500000e+003, +2.09688217875e+001, +8.53960596783e+001, +1.78714191033e-003, +1.68311436192e+000
+1.87502000000e+003, +2.11185667570e+001, +8.53744990600e+001, +1.78674221866e-003, +1.70305524656e+000
+1.88877600000e+003, +2.12695722629e+001, +8.53518448755e+001, +1.78635486304e-003, +1.72361497113e+000
+1.90263300000e+003, +2.14214346643e+001, +8.53304552542e+001, +1.78595187616e-003, +1.74389200497e+000
+1.91659100000e+003, +2.15744798630e+001, +8.53080783735e+001, +1.78555497488e-003, +1.76474903868e+000
+1.93065200000e+003, +2.17288937552e+001, +8.52857423008e+001, +1.78518005072e-003, +1.78582201169e+000
+1.94481600000e+003, +2.18839953249e+001, +8.52633322403e+001, +1.78477083653e-003, +1.80709964680e+000
+1.95908300000e+003, +2.20404025956e+001, +8.52410659138e+001, +1.78437872208e-003, +1.82855114888e+000
+1.97345600000e+003, +2.21974890448e+001, +8.52189429684e+001, +1.78395033028e-003, +1.85012477675e+000
+1.98793400000e+003, +2.23558456063e+001, +8.51951920699e+001, +1.78352992617e-003, +1.87255833345e+000
+2.00251800000e+003, +2.25148992954e+001, +8.51730598037e+001, +1.78307950056e-003, +1.89454727519e+000
+2.01720900000e+003, +2.26752680754e+001, +8.51502329110e+001, +1.78264150482e-003, +1.91704346352e+000
+2.03200800000e+003, +2.28363843319e+001, +8.51276384820e+001, +1.78217294238e-003, +1.93963784604e+000
+2.04691500000e+003, +2.29989192563e+001, +8.51053505945e+001, +1.78172675462e-003, +1.96235699389e+000
+2.06193200000e+003, +2.31622861813e+001, +8.50820338624e+001, +1.78125212175e-003, +1.98568753476e+000
+2.07705900000e+003, +2.33272947280e+001, +8.50590653604e+001, +1.78081513435e-003, +2.00915037271e+000
+2.09229700000e+003, +2.34932370617e+001, +8.50379568778e+001, +1.78036464563e-003, +2.03206567847e+000
+2.10764700000e+003, +2.36603815546e+001, +8.50153970524e+001, +1.77991155189e-003, +2.05580401190e+000
+2.12310900000e+003, +2.38286049119e+001, +8.49932749450e+001, +1.77945176458e-003, +2.07958596954e+000
+2.13868500000e+003, +2.39979439582e+001, +8.49696279991e+001, +1.77898123154e-003, +2.10423103208e+000
+2.15437500000e+003, +2.41687614817e+001, +8.49462597380e+001, +1.77853174841e-003, +2.12902812334e+000
