Freq.	V(out)
9.45082746652369e+003	6.30904709288133e-001     2.22990277719194e-001
9.45202737366687e+003	6.30905595458667e-001     2.23018575401922e-001
9.45322743315408e+003	6.30906481854127e-001     2.23046876672131e-001
9.45442764500466e+003	6.30907368474571e-001     2.23075181530275e-001
9.45562800923795e+003	6.30908255320054e-001     2.23103489976806e-001
9.45682852587332e+003	6.30909142390635e-001     2.23131802012179e-001
9.45802919493009e+003	6.30910029686370e-001     2.23160117636847e-001
9.45923001642763e+003	6.30910917207317e-001     2.23188436851264e-001
9.46043099038530e+003	6.30911804953532e-001     2.23216759655883e-001
9.46163211682244e+003	6.30912692925073e-001     2.23245086051159e-001
9.46283339575841e+003	6.30913581121997e-001     2.23273416037545e-001
9.46403482721259e+003	6.30914469544361e-001     2.23301749615495e-001
9.46523641120433e+003	6.30915358192223e-001     2.23330086785464e-001
9.46643814775299e+003	6.30916247065639e-001     2.23358427547904e-001
9.46764003687795e+003	6.30917136164667e-001     2.23386771903271e-001
9.46884207859859e+003	6.30918025489364e-001     2.23415119852018e-001
9.47004427293426e+003	6.30918915039787e-001     2.23443471394600e-001
9.47124661990436e+003	6.30919804815994e-001     2.23471826531471e-001
9.47244911952826e+003	6.30920694818041e-001     2.23500185263085e-001
9.47365177182534e+003	6.30921585045987e-001     2.23528547589896e-001
9.47485457681498e+003	6.30922475499887e-001     2.23556913512360e-001
9.47605753451657e+003	6.30923366179801e-001     2.23585283030930e-001
9.47726064494950e+003	6.30924257085785e-001     2.23613656146061e-001
9.47846390813316e+003	6.30925148217896e-001     2.23642032858208e-001
9.47966732408695e+003	6.30926039576192e-001     2.23670413167825e-001
9.48087089283026e+003	6.30926931160730e-001     2.23698797075367e-001
9.48207461438249e+003	6.30927822971567e-001     2.23727184581289e-001
9.48327848876304e+003	6.30928715008762e-001     2.23755575686045e-001
9.48448251599131e+003	6.30929607272371e-001     2.23783970390091e-001
9.48568669608671e+003	6.30930499762452e-001     2.23812368693882e-001
9.48689102906865e+003	6.30931392479062e-001     2.23840770597872e-001
9.48809551495654e+003	6.30932285422259e-001     2.23869176102517e-001
9.48930015376979e+003	6.30933178592100e-001     2.23897585208271e-001
9.49050494552783e+003	6.30934071988643e-001     2.23925997915590e-001
9.49170989025005e+003	6.30934965611945e-001     2.23954414224929e-001
9.49291498795590e+003	6.30935859462063e-001     2.23982834136744e-001
