Freq.	V(out)
9.14164235129272e+003	6.30680111846928e-001     2.15698520812389e-001
9.14280300330934e+003	6.30680941009679e-001     2.15725894027549e-001
9.14396380268602e+003	6.30681770382893e-001     2.15753270713318e-001
9.14512474944150e+003	6.30682599966623e-001     2.15780650870135e-001
9.14628584359447e+003	6.30683429760924e-001     2.15808034498438e-001
9.14744708516364e+003	6.30684259765847e-001     2.15835421598668e-001
9.14860847416775e+003	6.30685089981448e-001     2.15862812171262e-001
9.14977001062550e+003	6.30685920407778e-001     2.15890206216659e-001
9.15093169455561e+003	6.30686751044892e-001     2.15917603735300e-001
9.15209352597682e+003	6.30687581892844e-001     2.15945004727622e-001
9.15325550490785e+003	6.30688412951686e-001     2.15972409194066e-001
9.15441763136741e+003	6.30689244221472e-001     2.15999817135070e-001
9.15557990537426e+003	6.30690075702256e-001     2.16027228551073e-001
9.15674232694711e+003	6.30690907394091e-001     2.16054643442516e-001
9.15790489610470e+003	6.30691739297031e-001     2.16082061809837e-001
9.15906761286578e+003	6.30692571411129e-001     2.16109483653476e-001
9.16023047724908e+003	6.30693403736439e-001     2.16136908973873e-001
9.16139348927334e+003	6.30694236273014e-001     2.16164337771467e-001
9.16255664895731e+003	6.30695069020909e-001     2.16191770046697e-001
9.16371995631974e+003	6.30695901980176e-001     2.16219205800005e-001
9.16488341137937e+003	6.30696735150870e-001     2.16246645031828e-001
9.16604701415496e+003	6.30697568533043e-001     2.16274087742607e-001
9.16721076466527e+003	6.30698402126750e-001     2.16301533932782e-001
9.16837466292904e+003	6.30699235932045e-001     2.16328983602793e-001
9.16953870896505e+003	6.30700069948980e-001     2.16356436753080e-001
9.17070290279204e+003	6.30700904177610e-001     2.16383893384082e-001
9.17186724442879e+003	6.30701738617988e-001     2.16411353496241e-001
9.17303173389406e+003	6.30702573270169e-001     2.16438817089995e-001
9.17419637120662e+003	6.30703408134205e-001     2.16466284165786e-001
9.17536115638524e+003	6.30704243210151e-001     2.16493754724053e-001
9.17652608944870e+003	6.30705078498060e-001     2.16521228765237e-001
9.17769117041576e+003	6.30705913997986e-001     2.16548706289779e-001
9.17885639930522e+003	6.30706749709983e-001     2.16576187298117e-001
9.18002177613584e+003	6.30707585634105e-001     2.16603671790694e-001
9.18118730092642e+003	6.30708421770405e-001     2.16631159767950e-001
9.18235297369573e+003	6.30709258118938e-001     2.16658651230324e-001
9.18351879446257e+003	6.30710094679757e-001     2.16686146178259e-001
9.18468476324573e+003	6.30710931452916e-001     2.16713644612193e-001
9.18585088006400e+003	6.30711768438469e-001     2.16741146532570e-001
9.18701714493617e+003	6.30712605636469e-001     2.16768651939828e-001
9.18818355788104e+003	6.30713443046972e-001     2.16796160834409e-001
9.18935011891741e+003	6.30714280670030e-001     2.16823673216754e-001
9.19051682806408e+003	6.30715118505697e-001     2.16851189087303e-001
9.19168368533987e+003	6.30715956554028e-001     2.16878708446499e-001
9.19285069076356e+003	6.30716794815077e-001     2.16906231294781e-001
9.19401784435398e+003	6.30717633288896e-001     2.16933757632592e-001
