Freq.	1/S21       v1)
9.11600724790197e+003	       1.10919761615091e+001       -1.14054609759052e+002       
9.11731915920464e+003	       1.11064504944887e+001       -1.14024050432949e+002       
9.11863125930832e+003	       1.11209109422855e+001       -1.13993573054716e+002       
9.11994354824016e+003	       1.11353575301264e+001       -1.13963177304905e+002       
9.12125602602735e+003	       1.11497902832100e+001       -1.13932862865639e+002       
9.12256869269706e+003	       1.11642092267069e+001       -1.13902629420598e+002       
9.12388154827647e+003	       1.11786143857586e+001       -1.13872476655011e+002       
9.12519459279278e+003	       1.11930057854774e+001       -1.13842404255650e+002       
9.12650782627317e+003	       1.12073834509466e+001       -1.13812411910816e+002       
9.12782124874483e+003	       1.12217474072193e+001       -1.13782499310338e+002       
9.12913486023497e+003	       1.12360976793189e+001       -1.13752666145554e+002       
9.13044866077079e+003	       1.12504342922382e+001       -1.13722912109313e+002       
9.13176265037949e+003	       1.12647572709394e+001       -1.13693236895959e+002       
9.13307682908828e+003	       1.12790666403539e+001       -1.13663640201325e+002       
9.13439119692438e+003	       1.12933624253818e+001       -1.13634121722726e+002       
9.13570575391500e+003	       1.13076446508914e+001       -1.13604681158947e+002       
9.13702050008738e+003	       1.13219133417197e+001       -1.13575318210240e+002       
9.13833543546872e+003	       1.13361685226712e+001       -1.13546032578309e+002       
9.13965056008627e+003	       1.13504102185183e+001       -1.13516823966308e+002       
9.14096587396725e+003	       1.13646384540008e+001       -1.13487692078828e+002       
9.14228137713890e+003	       1.13788532538254e+001       -1.13458636621893e+002       
9.14359706962847e+003	       1.13930546426661e+001       -1.13429657302949e+002       
9.14491295146320e+003	       1.14072426451632e+001       -1.13400753830856e+002       
9.14622902267034e+003	       1.14214172859235e+001       -1.13371925915882e+002       
9.14754528327714e+003	       1.14355785895199e+001       -1.13343173269693e+002       
9.14886173331085e+003	       1.14497265804914e+001       -1.13314495605346e+002       
9.15017837279875e+003	       1.14638612833426e+001       -1.13285892637281e+002       
9.15149520176810e+003	       1.14779827225434e+001       -1.13257364081316e+002       
9.15281222024615e+003	       1.14920909225292e+001       -1.13228909654632e+002       
9.15412942826020e+003	       1.15061859077003e+001       -1.13200529075773e+002       
9.15544682583750e+003	       1.15202677024218e+001       -1.13172222064635e+002       
9.15676441300535e+003	       1.15343363310235e+001       -1.13143988342458e+002       
9.15808218979103e+003	       1.15483918177995e+001       -1.13115827631818e+002       
9.15940015622183e+003	       1.15624341870081e+001       -1.13087739656623e+002       
9.16071831232503e+003	       1.15764634628718e+001       -1.13059724142101e+002       
9.16203665812795e+003	       1.15904796695766e+001       -1.13031780814795e+002       
9.16335519365786e+003	       1.16044828312724e+001       -1.13003909402557e+002       
9.16467391894209e+003	       1.16184729720723e+001       -1.12976109634536e+002       
9.16599283400793e+003	       1.16324501160529e+001       -1.12948381241176e+002       
9.16731193888271e+003	       1.16464142872537e+001       -1.12920723954206e+002       
9.16863123359373e+003	       1.16603655096773e+001       -1.12893137506632e+002       
9.16995071816831e+003	       1.16743038072887e+001       -1.12865621632733e+002       
9.17127039263379e+003	       1.16882292040158e+001       -1.12838176068050e+002       
9.17259025701748e+003	       1.17021417237488e+001       -1.12810800549383e+002       
9.17391031134673e+003	       1.17160413903402e+001       -1.12783494814779e+002       
9.17523055564886e+003	       1.17299282276045e+001       -1.12756258603531e+002       
9.17655098995121e+003	       1.17438022593181e+001       -1.12729091656167e+002       
9.17787161428113e+003	       1.17576635092194e+001       -1.12701993714442e+002       
9.17919242866596e+003	       1.17715120010084e+001       -1.12674964521337e+002       
9.18051343313306e+003	       1.17853477583464e+001       -1.12648003821044e+002       
9.18183462770979e+003	       1.17991708048562e+001       -1.12621111358968e+002       
9.18315601242349e+003	       1.18129811641221e+001       -1.12594286881713e+002       
9.18447758730154e+003	       1.18267788596890e+001       -1.12567530137080e+002       
9.18579935237130e+003	       1.18405639150632e+001       -1.12540840874057e+002       
9.18712130766015e+003	       1.18543363537117e+001       -1.12514218842816e+002       
9.18844345319544e+003	       1.18680961990621e+001       -1.12487663794702e+002       
9.18976578900458e+003	       1.18818434745028e+001       -1.12461175482231e+002       
9.19108831511494e+003	       1.18955782033826e+001       -1.12434753659082e+002       
9.19241103155390e+003	       1.19093004090107e+001       -1.12408398080087e+002       
9.19373393834886e+003	       1.19230101146566e+001       -1.12382108501231e+002       
9.19505703552721e+003	       1.19367073435499e+001       -1.12355884679639e+002       
9.19638032311635e+003	       1.19503921188803e+001       -1.12329726373577e+002       
9.19770380114368e+003	       1.19640644637974e+001       -1.12303633342438e+002       
9.19902746963662e+003	       1.19777244014107e+001       -1.12277605346741e+002       
9.20035132862256e+003	       1.19913719547894e+001       -1.12251642148124e+002       
9.20167537812892e+003	       1.20050071469624e+001       -1.12225743509335e+002       
9.20299961818313e+003	       1.20186300009183e+001       -1.12199909194230e+002       
9.20432404881261e+003	       1.20322405396049e+001       -1.12174138967764e+002       
9.20564867004477e+003	       1.20458387859296e+001       -1.12148432595985e+002       
9.20697348190706e+003	       1.20594247627591e+001       -1.12122789846030e+002       
9.20829848442690e+003	       1.20729984929193e+001       -1.12097210486118e+002       
9.20962367763173e+003	       1.20865599991952e+001       -1.12071694285542e+002       
9.21094906154900e+003	       1.21001093043309e+001       -1.12046241014668e+002       
9.21227463620615e+003	       1.21136464310296e+001       -1.12020850444923e+002       
9.21360040163064e+003	       1.21271714019533e+001       -1.11995522348794e+002       
9.21492635784990e+003	       1.21406842397230e+001       -1.11970256499820e+002       
9.21625250489141e+003	       1.21541849669184e+001       -1.11945052672587e+002       
9.21757884278263e+003	       1.21676736060778e+001       -1.11919910642722e+002       
9.21890537155102e+003	       1.21811501796985e+001       -1.11894830186886e+002       
9.22023209122404e+003	       1.21946147102362e+001       -1.11869811082770e+002       
9.22155900182918e+003	       1.22080672201051e+001       -1.11844853109092e+002       
9.22288610339392e+003	       1.22215077316779e+001       -1.11819956045585e+002       
9.22421339594572e+003	       1.22349362672860e+001       -1.11795119672995e+002       
9.22554087951208e+003	       1.22483528492190e+001       -1.11770343773077e+002       
9.22686855412050e+003	       1.22617574997247e+001       -1.11745628128587e+002       
9.22819641979845e+003	       1.22751502410094e+001       -1.11720972523277e+002       
9.22952447657344e+003	       1.22885310952376e+001       -1.11696376741892e+002       
9.23085272447297e+003	       1.23019000845320e+001       -1.11671840570159e+002       
9.23218116352455e+003	       1.23152572309735e+001       -1.11647363794789e+002       
9.23350979375568e+003	       1.23286025566010e+001       -1.11622946203465e+002       
9.23483861519388e+003	       1.23419360834117e+001       -1.11598587584842e+002       
9.23616762786667e+003	       1.23552578333607e+001       -1.11574287728537e+002       
9.23749683180156e+003	       1.23685678283610e+001       -1.11550046425128e+002       
9.23882622702609e+003	       1.23818660902840e+001       -1.11525863466147e+002       
9.24015581356777e+003	       1.23951526409585e+001       -1.11501738644073e+002       
9.24148559145415e+003	       1.24084275021718e+001       -1.11477671752330e+002       
9.24281556071275e+003	       1.24216906956686e+001       -1.11453662585281e+002       
9.24414572137113e+003	       1.24349422431519e+001       -1.11429710938221e+002       
9.24547607345683e+003	       1.24481821662822e+001       -1.11405816607375e+002       
9.24680661699739e+003	       1.24614104866781e+001       -1.11381979389890e+002       
9.24813735202037e+003	       1.24746272259159e+001       -1.11358199083834e+002       
9.24946827855332e+003	       1.24878324055297e+001       -1.11334475488185e+002       
9.25079939662381e+003	       1.25010260470113e+001       -1.11310808402832e+002       
9.25213070625939e+003	       1.25142081718105e+001       -1.11287197628567e+002       
9.25346220748765e+003	       1.25273788013346e+001       -1.11263642967081e+002       
9.25479390033615e+003	       1.25405379569488e+001       -1.11240144220960e+002       
9.25612578483247e+003	       1.25536856599760e+001       -1.11216701193677e+002       
9.25745786100418e+003	       1.25668219316967e+001       -1.11193313689592e+002       
9.25879012887888e+003	       1.25799467933493e+001       -1.11169981513943e+002       
9.26012258848415e+003	       1.25930602661298e+001       -1.11146704472844e+002       
9.26145523984759e+003	       1.26061623711919e+001       -1.11123482373278e+002       
9.26278808299679e+003	       1.26192531296470e+001       -1.11100315023096e+002       
9.26412111795934e+003	       1.26323325625643e+001       -1.11077202231008e+002       
