Freq.	1/S12         v1)
9.26145523984759e+003	         2.44340544322348e+001         8.62637712990508e+001         
9.26278808299679e+003	         2.44353322044944e+001         8.62642687354846e+001         
9.26412111795934e+003	         2.44366099688180e+001         8.62647660876906e+001         
9.26545434476287e+003	         2.44378877252080e+001         8.62652633556822e+001         
9.26678776343496e+003	         2.44391654736667e+001         8.62657605394726e+001         
9.26812137400325e+003	         2.44404432141966e+001         8.62662576390752e+001         
9.26945517649533e+003	         2.44417209467998e+001         8.62667546545033e+001         
9.27078917093884e+003	         2.44429986714789e+001         8.62672515857701e+001         
9.27212335736140e+003	         2.44442763882361e+001         8.62677484328891e+001         
9.27345773579063e+003	         2.44455540970738e+001         8.62682451958734e+001         
9.27479230625418e+003	         2.44468317979943e+001         8.62687418747363e+001         
9.27612706877966e+003	         2.44481094910000e+001         8.62692384694913e+001         
9.27746202339473e+003	         2.44493871760933e+001         8.62697349801514e+001         
9.27879717012703e+003	         2.44506648532764e+001         8.62702314067302e+001         
9.28013250900420e+003	         2.44519425225518e+001         8.62707277492407e+001         
9.28146804005391e+003	         2.44532201839218e+001         8.62712240076963e+001         
9.28280376330380e+003	         2.44544978373886e+001         8.62717201821103e+001         
9.28413967878153e+003	         2.44557754829547e+001         8.62722162724960e+001         
9.28547578651477e+003	         2.44570531206225e+001         8.62727122788666e+001         
9.28681208653120e+003	         2.44583307503941e+001         8.62732082012353e+001         
9.28814857885847e+003	         2.44596083722721e+001         8.62737040396155e+001         
9.28948526352426e+003	         2.44608859862587e+001         8.62741997940204e+001         
9.29082214055626e+003	         2.44621635923563e+001         8.62746954644633e+001         
9.29215920998215e+003	         2.44634411905672e+001         8.62751910509573e+001         
9.29349647182961e+003	         2.44647187808937e+001         8.62756865535159e+001         
9.29483392612635e+003	         2.44659963633383e+001         8.62761819721522e+001         
9.29617157290005e+003	         2.44672739379031e+001         8.62766773068794e+001         
9.29750941217842e+003	         2.44685515045907e+001         8.62771725577108e+001         
9.29884744398915e+003	         2.44698290634032e+001         8.62776677246597e+001         
9.30018566835996e+003	         2.44711066143431e+001         8.62781628077393e+001         
9.30152408531856e+003	         2.44723841574126e+001         8.62786578069628e+001         
9.30286269489267e+003	         2.44736616926142e+001         8.62791527223434e+001         
9.30420149711000e+003	         2.44749392199501e+001         8.62796475538944e+001         
9.30554049199827e+003	         2.44762167394227e+001         8.62801423016290e+001         
9.30687967958523e+003	         2.44774942510343e+001         8.62806369655604e+001         
9.30821905989859e+003	         2.44787717547873e+001         8.62811315457018e+001         
9.30955863296609e+003	         2.44800492506839e+001         8.62816260420665e+001         
9.31089839881548e+003	         2.44813267387265e+001         8.62821204546677e+001         
9.31223835747450e+003	         2.44826042189174e+001         8.62826147835185e+001         
9.31357850897089e+003	         2.44838816912590e+001         8.62831090286322e+001         
9.31491885333241e+003	         2.44851591557536e+001         8.62836031900219e+001         
9.31625939058681e+003	         2.44864366124036e+001         8.62840972677010e+001         
9.31760012076185e+003	         2.44877140612111e+001         8.62845912616825e+001         
9.31894104388530e+003	         2.44889915021787e+001         8.62850851719796e+001         
9.32028215998493e+003	         2.44902689353085e+001         8.62855789986057e+001         
9.32162346908850e+003	         2.44915463606030e+001         8.62860727415737e+001         
9.32296497122379e+003	         2.44928237780644e+001         8.62865664008970e+001         
9.32430666641858e+003	         2.44941011876951e+001         8.62870599765887e+001         
9.32564855470066e+003	         2.44953785894974e+001         8.62875534686620e+001         
9.32699063609781e+003	         2.44966559834736e+001         8.62880468771300e+001         
9.32833291063782e+003	         2.44979333696260e+001         8.62885402020059e+001         
9.32967537834850e+003	         2.44992107479570e+001         8.62890334433030e+001         
9.33101803925764e+003	         2.45004881184689e+001         8.62895266010343e+001         
9.33236089339304e+003	         2.45017654811640e+001         8.62900196752131e+001         
9.33370394078251e+003	         2.45030428360446e+001         8.62905126658524e+001         
9.33504718145386e+003	         2.45043201831131e+001         8.62910055729655e+001         
9.33639061543492e+003	         2.45055975223717e+001         8.62914983965655e+001         
9.33773424275349e+003	         2.45068748538227e+001         8.62919911366655e+001         
9.33907806343741e+003	         2.45081521774686e+001         8.62924837932787e+001         
9.34042207751449e+003	         2.45094294933116e+001         8.62929763664182e+001         
9.34176628501258e+003	         2.45107068013540e+001         8.62934688560973e+001         
9.34311068595951e+003	         2.45119841015981e+001         8.62939612623289e+001         
9.34445528038311e+003	         2.45132613940463e+001         8.62944535851263e+001         
9.34580006831124e+003	         2.45145386787008e+001         8.62949458245026e+001         
9.34714504977174e+003	         2.45158159555640e+001         8.62954379804709e+001         
9.34849022479245e+003	         2.45170932246382e+001         8.62959300530443e+001         
9.34983559340125e+003	         2.45183704859257e+001         8.62964220422360e+001         
9.35118115562598e+003	         2.45196477394288e+001         8.62969139480591e+001         
9.35252691149451e+003	         2.45209249851499e+001         8.62974057705266e+001         
9.35387286103471e+003	         2.45222022230911e+001         8.62978975096518e+001         
9.35521900427445e+003	         2.45234794532549e+001         8.62983891654477e+001         
9.35656534124161e+003	         2.45247566756435e+001         8.62988807379275e+001         
9.35791187196406e+003	         2.45260338902593e+001         8.62993722271041e+001         
9.35925859646970e+003	         2.45273110971045e+001         8.62998636329909e+001         
9.36060551478640e+003	         2.45285882961815e+001         8.63003549556007e+001         
9.36195262694206e+003	         2.45298654874925e+001         8.63008461949468e+001         
9.36329993296458e+003	         2.45311426710400e+001         8.63013373510422e+001         
9.36464743288185e+003	         2.45324198468261e+001         8.63018284239000e+001         
9.36599512672178e+003	         2.45336970148531e+001         8.63023194135333e+001         
9.36734301451228e+003	         2.45349741751235e+001         8.63028103199552e+001         
9.36869109628126e+003	         2.45362513276394e+001         8.63033011431788e+001         
9.37003937205664e+003	         2.45375284724033e+001         8.63037918832171e+001         
9.37138784186633e+003	         2.45388056094172e+001         8.63042825400833e+001         
9.37273650573826e+003	         2.45400827386837e+001         8.63047731137903e+001         
9.37408536370036e+003	         2.45413598602050e+001         8.63052636043513e+001         
9.37543441578056e+003	         2.45426369739833e+001         8.63057540117792e+001         
9.37678366200679e+003	         2.45439140800211e+001         8.63062443360873e+001         
9.37813310240701e+003	         2.45451911783205e+001         8.63067345772885e+001         
9.37948273700914e+003	         2.45464682688838e+001         8.63072247353960e+001         
9.38083256584114e+003	         2.45477453517134e+001         8.63077148104226e+001         
9.38218258893096e+003	         2.45490224268116e+001         8.63082048023816e+001         
9.38353280630656e+003	         2.45502994941807e+001         8.63086947112859e+001         
9.38488321799589e+003	         2.45515765538229e+001         8.63091845371487e+001         
9.38623382402693e+003	         2.45528536057405e+001         8.63096742799828e+001         
9.38758462442764e+003	         2.45541306499359e+001         8.63101639398015e+001         
9.38893561922598e+003	         2.45554076864113e+001         8.63106535166176e+001         
9.39028680844995e+003	         2.45566847151690e+001         8.63111430104443e+001         
9.39163819212752e+003	         2.45579617362113e+001         8.63116324212945e+001         
9.39298977028666e+003	         2.45592387495405e+001         8.63121217491814e+001         
9.39434154295538e+003	         2.45605157551589e+001         8.63126109941178e+001         
9.39569351016167e+003	         2.45617927530688e+001         8.63131001561169e+001         
9.39704567193351e+003	         2.45630697432724e+001         8.63135892351917e+001         
9.39839802829892e+003	         2.45643467257721e+001         8.63140782313551e+001         
