Freq.	S12   v1)/S21   v1)
9.18712130766014e+003	   -4.24804276601304e+000   6.35868076389914e+001    
9.18844345319544e+003	   -4.24654614010429e+000   6.36057823940745e+001    
9.18976578900458e+003	   -4.24504822097597e+000   6.36247536218293e+001    
9.19108831511494e+003	   -4.24354900922173e+000   6.36437213159527e+001    
9.19241103155390e+003	   -4.24204850543624e+000   6.36626854701431e+001    
9.19373393834886e+003	   -4.24054671021515e+000   6.36816460781085e+001    
9.19505703552721e+003	   -4.23904362415516e+000   6.37006031335602e+001    
9.19638032311635e+003	   -4.23753924785399e+000   6.37195566302152e+001    
9.19770380114368e+003	   -4.23603358191029e+000   6.37385065618004e+001    
9.19902746963662e+003	   -4.23452662692377e+000   6.37574529220442e+001    
9.20035132862256e+003	   -4.23301838349510e+000   6.37763957046858e+001    
9.20167537812892e+003	   -4.23150885222606e+000   6.37953349034616e+001    
9.20299961818313e+003	   -4.22999803371926e+000   6.38142705121272e+001    
9.20432404881261e+003	   -4.22848592857846e+000   6.38332025244292e+001    
9.20564867004477e+003	   -4.22697253740825e+000   6.38521309341370e+001    
9.20697348190706e+003	   -4.22545786081440e+000   6.38710557350096e+001    
9.20829848442690e+003	   -4.22394189940354e+000   6.38899769208239e+001    
9.20962367763173e+003	   -4.22242465378332e+000   6.39088944853584e+001    
9.21094906154900e+003	   -4.22090612456236e+000   6.39278084223980e+001    
9.21227463620615e+003	   -4.21938631235038e+000   6.39467187257292e+001    
9.21360040163064e+003	   -4.21786521775785e+000   6.39656253891588e+001    
9.21492635784990e+003	   -4.21634284139648e+000   6.39845284064798e+001    
9.21625250489141e+003	   -4.21481918387878e+000   6.40034277715102e+001    
9.21757884278263e+003	   -4.21329424581836e+000   6.40223234780570e+001    
9.21890537155102e+003	   -4.21176802782970e+000   6.40412155199484e+001    
9.22023209122404e+003	   -4.21024053052833e+000   6.40601038910096e+001    
9.22155900182918e+003	   -4.20871175453067e+000   6.40789885850786e+001    
9.22288610339392e+003	   -4.20718170045425e+000   6.40978695959881e+001    
9.22421339594572e+003	   -4.20565036891739e+000   6.41167469175929e+001    
9.22554087951208e+003	   -4.20411776053959e+000   6.41356205437359e+001    
9.22686855412050e+003	   -4.20258387594110e+000   6.41544904682866e+001    
9.22819641979845e+003	   -4.20104871574327e+000   6.41733566851028e+001    
9.22952447657344e+003	   -4.19951228056834e+000   6.41922191880615e+001    
9.23085272447297e+003	   -4.19797457103963e+000   6.42110779710329e+001    
9.23218116352455e+003	   -4.19643558778127e+000   6.42299330279060e+001    
9.23350979375568e+003	   -4.19489533141843e+000   6.42487843525676e+001    
9.23483861519388e+003	   -4.19335380257722e+000   6.42676319389166e+001    
9.23616762786667e+003	   -4.19181100188463e+000   6.42864757808585e+001    
9.23749683180156e+003	   -4.19026692996882e+000   6.43053158722917e+001    
9.23882622702609e+003	   -4.18872158745864e+000   6.43241522071393e+001    
9.24015581356777e+003	   -4.18717497498401e+000   6.43429847793228e+001    
9.24148559145415e+003	   -4.18562709317580e+000   6.43618135827690e+001    
9.24281556071275e+003	   -4.18407794266582e+000   6.43806386114081e+001    
9.24414572137113e+003	   -4.18252752408681e+000   6.43994598591840e+001    
9.24547607345683e+003	   -4.18097583807243e+000   6.44182773200430e+001    
9.24680661699739e+003	   -4.17942288525735e+000   6.44370909879350e+001    
9.24813735202037e+003	   -4.17786866627707e+000   6.44559008568231e+001    
9.24946827855332e+003	   -4.17631318176814e+000   6.44747069206700e+001    
9.25079939662381e+003	   -4.17475643236796e+000   6.44935091734500e+001    
9.25213070625940e+003	   -4.17319841871493e+000   6.45123076091357e+001    
9.25346220748765e+003	   -4.17163914144825e+000   6.45311022217225e+001    
9.25479390033615e+003	   -4.17007860120825e+000   6.45498930051900e+001    
9.25612578483247e+003	   -4.16851679866119e+000   6.45686799526407e+001    
9.25745786100418e+003	   -4.16695373439884e+000   6.45874630598785e+001    
9.25879012887888e+003	   -4.16538940908932e+000   6.46062423200135e+001    
9.26012258848416e+003	   -4.16382382337658e+000   6.46250177270607e+001    
9.26145523984759e+003	   -4.16225697790539e+000   6.46437892750447e+001    
9.26278808299679e+003	   -4.16068887332154e+000   6.46625569579939e+001    
9.26412111795934e+003	   -4.15911951027167e+000   6.46813207699467e+001    
9.26545434476287e+003	   -4.15754888940343e+000   6.47000807049377e+001    
