Freq.	1/S21       v1)
9.24680661699739e+003	       1.36696749894865e+001       -1.34041775802449e+002       
9.24813735202037e+003	       1.36801125187761e+001       -1.34003250510160e+002       
9.24946827855332e+003	       1.36905468992102e+001       -1.33964794896905e+002       
9.25079939662381e+003	       1.37009781224888e+001       -1.33926408808729e+002       
9.25213070625939e+003	       1.37114061803809e+001       -1.33888092091981e+002       
9.25346220748765e+003	       1.37218310647245e+001       -1.33849844593321e+002       
9.25479390033615e+003	       1.37322527674260e+001       -1.33811666159715e+002       
9.25612578483247e+003	       1.37426712804599e+001       -1.33773556638439e+002       
9.25745786100418e+003	       1.37530865958687e+001       -1.33735515877074e+002       
9.25879012887888e+003	       1.37634987057621e+001       -1.33697543723512e+002       
9.26012258848415e+003	       1.37739076023168e+001       -1.33659640025952e+002       
9.26145523984759e+003	       1.37843132777762e+001       -1.33621804632902e+002       
9.26278808299679e+003	       1.37947157244500e+001       -1.33584037393177e+002       
9.26412111795934e+003	       1.38051149347140e+001       -1.33546338155901e+002       
9.26545434476287e+003	       1.38155109010092e+001       -1.33508706770508e+002       
9.26678776343496e+003	       1.38259036158423e+001       -1.33471143086738e+002       
9.26812137400325e+003	       1.38362930717845e+001       -1.33433646954641e+002       
9.26945517649533e+003	       1.38466792614715e+001       -1.33396218224575e+002       
9.27078917093884e+003	       1.38570621776034e+001       -1.33358856747206e+002       
9.27212335736140e+003	       1.38674418129440e+001       -1.33321562373509e+002       
9.27345773579063e+003	       1.38778181603204e+001       -1.33284334954767e+002       
9.27479230625418e+003	       1.38881912126230e+001       -1.33247174342572e+002       
9.27612706877966e+003	       1.38985609628049e+001       -1.33210080388825e+002       
9.27746202339473e+003	       1.39089274038815e+001       -1.33173052945732e+002       
9.27879717012703e+003	       1.39192905289304e+001       -1.33136091865812e+002       
9.28013250900420e+003	       1.39296503310908e+001       -1.33099197001889e+002       
9.28146804005391e+003	       1.39400068035635e+001       -1.33062368207096e+002       
9.28280376330380e+003	       1.39503599396101e+001       -1.33025605334875e+002       
9.28413967878153e+003	       1.39607097325530e+001       -1.32988908238974e+002       
9.28547578651477e+003	       1.39710561757750e+001       -1.32952276773451e+002       
9.28681208653120e+003	       1.39813992627189e+001       -1.32915710792671e+002       
9.28814857885847e+003	       1.39917389868871e+001       -1.32879210151307e+002       
9.28948526352426e+003	       1.40020753418416e+001       -1.32842774704340e+002       
9.29082214055626e+003	       1.40124083212032e+001       -1.32806404307057e+002       
9.29215920998215e+003	       1.40227379186515e+001       -1.32770098815054e+002       
9.29349647182961e+003	       1.40330641279246e+001       -1.32733858084234e+002       
9.29483392612635e+003	       1.40433869428185e+001       -1.32697681970808e+002       
9.29617157290005e+003	       1.40537063571870e+001       -1.32661570331292e+002       
9.29750941217842e+003	       1.40640223649413e+001       -1.32625523022511e+002       
9.29884744398915e+003	       1.40743349600495e+001       -1.32589539901596e+002       
9.30018566835996e+003	       1.40846441365369e+001       -1.32553620825984e+002       
9.30152408531856e+003	       1.40949498884849e+001       -1.32517765653421e+002       
9.30286269489267e+003	       1.41052522100311e+001       -1.32481974241955e+002       
9.30420149711000e+003	       1.41155510953690e+001       -1.32446246449945e+002       
9.30554049199827e+003	       1.41258465387475e+001       -1.32410582136052e+002       
9.30687967958523e+003	       1.41361385344708e+001       -1.32374981159245e+002       
9.30821905989859e+003	       1.41464270768979e+001       -1.32339443378799e+002       
9.30955863296609e+003	       1.41567121604424e+001       -1.32303968654294e+002       
9.31089839881548e+003	       1.41669937795722e+001       -1.32268556845613e+002       
9.31223835747450e+003	       1.41772719288091e+001       -1.32233207812947e+002       
9.31357850897089e+003	       1.41875466027285e+001       -1.32197921416791e+002       
9.31491885333241e+003	       1.41978177959594e+001       -1.32162697517944e+002       
9.31625939058681e+003	       1.42080855031836e+001       -1.32127535977510e+002       
9.31760012076185e+003	       1.42183497191357e+001       -1.32092436656897e+002       
9.31894104388530e+003	       1.42286104386028e+001       -1.32057399417818e+002       
9.32028215998493e+003	       1.42388676564241e+001       -1.32022424122288e+002       
9.32162346908850e+003	       1.42491213674907e+001       -1.31987510632626e+002       
9.32296497122379e+003	       1.42593715667453e+001       -1.31952658811455e+002       
9.32430666641858e+003	       1.42696182491817e+001       -1.31917868521701e+002       
9.32564855470066e+003	       1.42798614098448e+001       -1.31883139626592e+002       
9.32699063609781e+003	       1.42901010438302e+001       -1.31848471989658e+002       
9.32833291063782e+003	       1.43003371462838e+001       -1.31813865474734e+002       
9.32967537834850e+003	       1.43105697124018e+001       -1.31779319945954e+002       
9.33101803925764e+003	       1.43207987374299e+001       -1.31744835267755e+002       
9.33236089339304e+003	       1.43310242166637e+001       -1.31710411304875e+002       
9.33370394078251e+003	       1.43412461454477e+001       -1.31676047922354e+002       
9.33504718145386e+003	       1.43514645191756e+001       -1.31641744985532e+002       
9.33639061543492e+003	       1.43616793332897e+001       -1.31607502360051e+002       
9.33773424275349e+003	       1.43718905832808e+001       -1.31573319911851e+002       
9.33907806343741e+003	       1.43820982646877e+001       -1.31539197507174e+002       
9.34042207751449e+003	       1.43923023730971e+001       -1.31505135012561e+002       
9.34176628501258e+003	       1.44025029041434e+001       -1.31471132294852e+002       
9.34311068595951e+003	       1.44126998535081e+001       -1.31437189221187e+002       
9.34445528038311e+003	       1.44228932169198e+001       -1.31403305659005e+002       
9.34580006831124e+003	       1.44330829901540e+001       -1.31369481476041e+002       
9.34714504977174e+003	       1.44432691690324e+001       -1.31335716540332e+002       
9.34849022479245e+003	       1.44534517494232e+001       -1.31302010720209e+002       
9.34983559340125e+003	       1.44636307272405e+001       -1.31268363884304e+002       
9.35118115562598e+003	       1.44738060984439e+001       -1.31234775901543e+002       
9.35252691149451e+003	       1.44839778590386e+001       -1.31201246641151e+002       
9.35387286103471e+003	       1.44941460050748e+001       -1.31167775972649e+002       
9.35521900427445e+003	       1.45043105326479e+001       -1.31134363765854e+002       
9.35656534124161e+003	       1.45144714378976e+001       -1.31101009890879e+002       
9.35791187196406e+003	       1.45246287170082e+001       -1.31067714218132e+002       
9.35925859646970e+003	       1.45347823662079e+001       -1.31034476618317e+002       
9.36060551478640e+003	       1.45449323817689e+001       -1.31001296962431e+002       
9.36195262694206e+003	       1.45550787600071e+001       -1.30968175121768e+002       
9.36329993296458e+003	       1.45652214972815e+001       -1.30935110967913e+002       
9.36464743288185e+003	       1.45753605899944e+001       -1.30902104372748e+002       
9.36599512672178e+003	       1.45854960345908e+001       -1.30869155208445e+002       
9.36734301451228e+003	       1.45956278275584e+001       -1.30836263347472e+002       
9.36869109628126e+003	       1.46057559654272e+001       -1.30803428662588e+002       
9.37003937205664e+003	       1.46158804447693e+001       -1.30770651026843e+002       
9.37138784186633e+003	       1.46260012621986e+001       -1.30737930313582e+002       
9.37273650573826e+003	       1.46361184143706e+001       -1.30705266396437e+002       
9.37408536370036e+003	       1.46462318979823e+001       -1.30672659149336e+002       
9.37543441578056e+003	       1.46563417097716e+001       -1.30640108446494e+002       
9.37678366200679e+003	       1.46664478465175e+001       -1.30607614162418e+002       
9.37813310240701e+003	       1.46765503050394e+001       -1.30575176171904e+002       
9.37948273700914e+003	       1.46866490821972e+001       -1.30542794350038e+002       
9.38083256584114e+003	       1.46967441748910e+001       -1.30510468572194e+002       
9.38218258893096e+003	       1.47068355800607e+001       -1.30478198714036e+002       
9.38353280630656e+003	       1.47169232946859e+001       -1.30445984651515e+002       
9.38488321799589e+003	       1.47270073157858e+001       -1.30413826260872e+002       
