Freq.	V(out)
9.11614525118864e+003	6.36761262897055e-001     2.17072483104365e-001
9.11730266601225e+003	6.36762103152780e-001     2.17100030505504e-001
9.11846022778494e+003	6.36762943621788e-001     2.17127581399270e-001
9.11961793652534e+003	6.36763784304122e-001     2.17155135786104e-001
9.12077579225214e+003	6.36764625199850e-001     2.17182693666448e-001
9.12193379498399e+003	6.36765466309011e-001     2.17210255040740e-001
9.12309194473954e+003	6.36766307631669e-001     2.17237819909431e-001
9.12425024153748e+003	6.36767149167868e-001     2.17265388272953e-001
9.12540868539647e+003	6.36767990917681e-001     2.17292960131755e-001
9.12656727633518e+003	6.36768832881140e-001     2.17320535486271e-001
9.12772601437228e+003	6.36769675058313e-001     2.17348114336951e-001
9.12888489952645e+003	6.36770517449254e-001     2.17375696684235e-001
9.13004393181638e+003	6.36771360054015e-001     2.17403282528562e-001
9.13120311126073e+003	6.36772202872642e-001     2.17430871870375e-001
9.13236243787819e+003	6.36773045905205e-001     2.17458464710116e-001
9.13352191168745e+003	6.36773889151746e-001     2.17486061048232e-001
9.13468153270720e+003	6.36774732612325e-001     2.17513660885161e-001
9.13584130095612e+003	6.36775576286988e-001     2.17541264221344e-001
9.13700121645292e+003	6.36776420175803e-001     2.17568871057226e-001
9.13816127921627e+003	6.36777264278814e-001     2.17596481393248e-001
9.13932148926489e+003	6.36778108596076e-001     2.17624095229855e-001
9.14048184661747e+003	6.36778953127649e-001     2.17651712567487e-001
9.14164235129272e+003	6.36779797873587e-001     2.17679333406591e-001
9.14280300330933e+003	6.36780642833937e-001     2.17706957747602e-001
9.14396380268602e+003	6.36781488008763e-001     2.17734585590967e-001
9.14512474944149e+003	6.36782333398108e-001     2.17762216937133e-001
9.14628584359446e+003	6.36783179002034e-001     2.17789851786535e-001
9.14744708516364e+003	6.36784024820599e-001     2.17817490139621e-001
9.14860847416774e+003	6.36784870853852e-001     2.17845131996833e-001
9.14977001062549e+003	6.36785717101846e-001     2.17872777358612e-001
9.15093169455561e+003	6.36786563564637e-001     2.17900426225404e-001
9.15209352597682e+003	6.36787410242281e-001     2.17928078597651e-001
9.15325550490784e+003	6.36788257134828e-001     2.17955734475793e-001
