!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:05:22 2026

BEGIN CH1_DATA
DCV(V), +3.442e-004, DCI(A), +3.352e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.18610100000e+003, +3.53036069787e-001, +8.86417760962e+001, +2.56949011405e-005, +8.36810538009e-003
+2.20213900000e+003, +3.55730531573e-001, +8.86513146948e+001, +2.57025501723e-005, +8.37276742648e-003
+2.21829500000e+003, +3.58361971010e-001, +8.86260842207e+001, +2.57038320125e-005, +8.59246504737e-003
+2.23456900000e+003, +3.61125692837e-001, +8.86072141008e+001, +2.57132174427e-005, +8.77763149817e-003
+2.25096200000e+003, +3.63763224416e-001, +8.86182007928e+001, +2.57125084875e-005, +8.77200755824e-003
+2.26747600000e+003, +3.66476895278e-001, +8.85976571643e+001, +2.57154386659e-005, +8.96880962561e-003
+2.28411100000e+003, +3.69130305871e-001, +8.85903529675e+001, +2.57129067569e-005, +9.08079009883e-003
+2.30086800000e+003, +3.71882671169e-001, +8.85955836885e+001, +2.57160279579e-005, +9.11455950012e-003
+2.31774800000e+003, +3.74489987109e-001, +8.85889723045e+001, +2.57076521788e-005, +9.22166233167e-003
+2.33475100000e+003, +3.77061338058e-001, +8.86143796295e+001, +2.56959427100e-005, +9.11782595239e-003
+2.35188000000e+003, +3.79433093101e-001, +8.86066506736e+001, +2.56691653337e-005, +9.22634687933e-003
+2.36913400000e+003, +3.81698686136e-001, +8.86077124108e+001, +2.56343869286e-005, +9.27436625250e-003
+2.38651500000e+003, +3.84064686256e-001, +8.86265309323e+001, +2.56056348267e-005, +9.20574695643e-003
+2.40402300000e+003, +3.86683787431e-001, +8.86407049456e+001, +2.55926493949e-005, +9.17289300595e-003
+2.42166000000e+003, +3.89377972015e-001, +8.86702527656e+001, +2.55835830791e-005, +9.03605475612e-003
+2.43942600000e+003, +3.92263150397e-001, +8.87565492023e+001, +2.55863132753e-005, +8.51234844777e-003
+2.45732200000e+003, +3.95374442979e-001, +8.88451669776e+001, +2.56022676759e-005, +7.96848480714e-003
+2.47535000000e+003, +3.98515787256e-001, +8.89214104415e+001, +2.56184052424e-005, +7.50159232985e-003
+2.49351000000e+003, +4.01628934748e-001, +8.89756780274e+001, +2.56309440992e-005, +7.17985568395e-003
+2.51180300000e+003, +4.04670599065e-001, +8.89910465272e+001, +2.56370983260e-005, +7.12570294514e-003
+2.53023000000e+003, +4.07757872896e-001, +8.89634398756e+001, +2.56443331474e-005, +7.37650310605e-003
+2.54879300000e+003, +4.10773144420e-001, +8.88473014486e+001, +2.56448233750e-005, +8.26353479948e-003
+2.56749100000e+003, +4.13701913416e-001, +8.87845375754e+001, +2.56389952568e-005, +8.77554020115e-003
+2.58632700000e+003, +4.16790778724e-001, +8.87100998863e+001, +2.56415770673e-005, +9.38241986716e-003
+2.60530100000e+003, +4.19817753384e-001, +8.86552946359e+001, +2.56391371702e-005, +9.85202340172e-003
+2.62441500000e+003, +4.22647460527e-001, +8.86338080163e+001, +2.56237336127e-005, +1.00768828465e-002
+2.64366800000e+003, +4.25812765963e-001, +8.86662798906e+001, +2.56279708748e-005, +9.91109235214e-003
+2.66306300000e+003, +4.28684537489e-001, +8.87058425110e+001, +2.56133105348e-005, +9.68200688686e-003
+2.68260000000e+003, +4.31718848633e-001, +8.87368995793e+001, +2.56070577455e-005, +9.51658387370e-003
+2.70228000000e+003, +4.34727282639e-001, +8.87713655841e+001, +2.55980464083e-005, +9.32145390237e-003
+2.72210500000e+003, +4.37804211230e-001, +8.88023088766e+001, +2.55917686421e-005, +9.15104106531e-003
+2.74207500000e+003, +4.40837855255e-001, +8.88211797857e+001, +2.55816031830e-005, +9.06928778078e-003
+2.76219200000e+003, +4.43949441865e-001, +8.88535091328e+001, +2.55748344380e-005, +8.88285348877e-003
+2.78245600000e+003, +4.46958506893e-001, +8.88798143226e+001, +2.55608932390e-005, +8.73789703813e-003
+2.80286900000e+003, +4.50214775709e-001, +8.89051531967e+001, +2.55598194172e-005, +8.60248722222e-003
+2.82343200000e+003, +4.53569760099e-001, +8.89352619795e+001, +2.55630046080e-005, +8.42828525082e-003
+2.84414600000e+003, +4.56856037519e-001, +8.89393101613e+001, +2.55607263114e-005, +8.45707803410e-003
+2.86501100000e+003, +4.60671303217e-001, +8.89519605362e+001, +2.55865857823e-005, +8.42600950533e-003
+2.88603000000e+003, +4.64177281982e-001, +8.89646943036e+001, +2.55936524252e-005, +8.38699180618e-003
