!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.66306300000e+003, +4.19748180203e-001, +8.86548027993e+001, +2.50788608389e-005, +9.85399289734e-003
+2.68260000000e+003, +4.22671229219e-001, +8.86796687655e+001, +2.50698407931e-005, +9.73922756833e-003
+2.70228000000e+003, +4.25673981185e-001, +8.87241473696e+001, +2.50645093338e-005, +9.47805215833e-003
+2.72210500000e+003, +4.28713806751e-001, +8.87449645483e+001, +2.50598537119e-005, +9.39001100794e-003
+2.74207500000e+003, +4.31686835929e-001, +8.87749408030e+001, +2.50501498937e-005, +9.22932962409e-003
+2.76219200000e+003, +4.34643435206e-001, +8.88045319066e+001, +2.50383008145e-005, +9.06811397368e-003
+2.78245600000e+003, +4.37654741061e-001, +8.88339396815e+001, +2.50284248215e-005, +8.90635580808e-003
+2.80286900000e+003, +4.40913328940e-001, +8.88517438227e+001, +2.50312962000e-005, +8.83568682487e-003
+2.82343200000e+003, +4.43970320697e-001, +8.88883416186e+001, +2.50215949428e-005, +8.61341564517e-003
+2.84414600000e+003, +4.47433241912e-001, +8.88902372287e+001, +2.50331223566e-005, +8.66579898427e-003
+2.86501100000e+003, +4.50984384251e-001, +8.88995234735e+001, +2.50481254797e-005, +8.66149686595e-003
+2.88603000000e+003, +4.54528482655e-001, +8.89113609681e+001, +2.50612077041e-005, +8.63567403256e-003
+2.90720300000e+003, +4.57989178728e-001, +8.89140751851e+001, +2.50681325872e-005, +8.67973249469e-003
+2.92853100000e+003, +4.61418606131e-001, +8.89309763754e+001, +2.50720480361e-005, +8.60864056754e-003
+2.95001500000e+003, +4.64802859386e-001, +8.89286637398e+001, +2.50719881166e-005, +8.69053785536e-003
+2.97165800000e+003, +4.67721007234e-001, +8.89345789538e+001, +2.50456952941e-005, +8.69682010730e-003
+2.99345900000e+003, +4.70768552566e-001, +8.89490567748e+001, +2.50254098940e-005, +8.63455009976e-003
+3.01541900000e+003, +4.73904385140e-001, +8.89479999887e+001, +2.50086347031e-005, +8.70080504018e-003
+3.03754100000e+003, +4.77211336561e-001, +8.89270402276e+001, +2.49995723543e-005, +8.93606204271e-003
+3.05982600000e+003, +4.80499200003e-001, +8.89210138836e+001, +2.49884349418e-005, +9.04815898873e-003
+3.08227400000e+003, +4.84028761043e-001, +8.88702329475e+001, +2.49882374092e-005, +9.54353560261e-003
