!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.56717790000e+004, +5.55571894010e+000, +8.91010337111e+001, +2.47846146988e-005, +8.71652182332e-002
+3.59334780000e+004, +5.59620523817e+000, +8.90962312648e+001, +2.47833768025e-005, +8.82694265046e-002
+3.61970970000e+004, +5.63696096376e+000, +8.90935667562e+001, +2.47820407891e-005, +8.91743811156e-002
+3.64626500000e+004, +5.67777890644e+000, +8.90884497264e+001, +2.47796640782e-005, +9.03271170562e-002
+3.67301520000e+004, +5.71927422359e+000, +8.90829363325e+001, +2.47789382895e-005, +9.15375390055e-002
+3.69996150000e+004, +5.76099441899e+000, +8.90790841522e+001, +2.47778877123e-005, +9.25925552217e-002
+3.72710560000e+004, +5.80297458626e+000, +8.90763137361e+001, +2.47766544409e-005, +9.35478281662e-002
+3.75444880000e+004, +5.84561019312e+000, +8.90701616056e+001, +2.47768792372e-005, +9.48627325369e-002
+3.78199260000e+004, +5.88823824354e+000, +8.90651072080e+001, +2.47757616317e-005, +9.60738691256e-002
+3.80973850000e+004, +5.93138812048e+000, +8.90616672906e+001, +2.47755363544e-005, +9.71339730033e-002
+3.83768790000e+004, +5.97483466504e+000, +8.90562375468e+001, +2.47752161425e-005, +9.84116052800e-002
+3.86584230000e+004, +6.01842084054e+000, +8.90532542827e+001, +2.47741782838e-005, +9.94428371084e-002
+3.89420340000e+004, +6.06212710633e+000, +8.90520108000e+001, +2.47723433243e-005, +1.00296546707e-001
+3.92277240000e+004, +6.10642393432e+000, +8.90525976620e+001, +2.47716307683e-005, +1.00966890329e-001
+3.95155110000e+004, +6.15092158871e+000, +8.90510951082e+001, +2.47704078405e-005, +1.01863921256e-001
+3.98054090000e+004, +6.19566249532e+000, +8.90496568346e+001, +2.47688617688e-005, +1.02760370491e-001
+4.00974340000e+004, +6.24078854787e+000, +8.90480603893e+001, +2.47675514640e-005, +1.03682689285e-001
+4.03916010000e+004, +6.28634776104e+000, +8.90430563353e+001, +2.47666285337e-005, +1.04988553075e-001
+4.06879260000e+004, +6.33242857511e+000, +8.90382830608e+001, +2.47664464035e-005, +1.06285627243e-001
+4.09864260000e+004, +6.37846588853e+000, +8.90341608097e+001, +2.47647878321e-005, +1.07517178755e-001
+4.12871150000e+004, +6.42496048387e+000, +8.90291464796e+001, +2.47635957322e-005, +1.08863114663e-001
+4.15900100000e+004, +6.47183866551e+000, +8.90250803224e+001, +2.47625813728e-005, +1.10116634382e-001
+4.18951270000e+004, +6.51903333925e+000, +8.90201920856e+001, +2.47614639121e-005, +1.11475735166e-001
+4.22024830000e+004, +6.56630100065e+000, +8.90196660571e+001, +2.47593558223e-005, +1.12344290014e-001
+4.25120930000e+004, +6.61382596246e+000, +8.90180296573e+001, +2.47569204329e-005, +1.13346271959e-001
+4.28239750000e+004, +6.66194151185e+000, +8.90159430953e+001, +2.47553979816e-005, +1.14413440228e-001
+4.31381450000e+004, +6.71037788617e+000, +8.90121630980e+001, +2.47537552511e-005, +1.15687936546e-001
+4.34546200000e+004, +6.75920636709e+000, +8.90086010638e+001, +2.47522603429e-005, +1.16949898942e-001
+4.37734160000e+004, +6.80858686386e+000, +8.90034702249e+001, +2.47514691949e-005, +1.18413913143e-001
+4.40945510000e+004, +6.85856977038e+000, +8.89947030932e+001, +2.47515223237e-005, +1.20332514371e-001
+4.44180430000e+004, +6.90870926889e+000, +8.89871973014e+001, +2.47508303670e-005, +1.22117109832e-001
+4.47439070000e+004, +6.95924604721e+000, +8.89823553970e+001, +2.47502684693e-005, +1.23598402784e-001
+4.50721620000e+004, +7.01005548468e+000, +8.89760190985e+001, +2.47493521641e-005, +1.25275908294e-001
+4.54028260000e+004, +7.06098610809e+000, +8.89709749798e+001, +2.47475697597e-005, +1.26807608306e-001
+4.57359150000e+004, +7.11201899049e+000, +8.89646987073e+001, +2.47448464905e-005, +1.28503038872e-001
+4.60714480000e+004, +7.16355175172e+000, +8.89599061634e+001, +2.47425872844e-005, +1.30033256942e-001
+4.64094420000e+004, +7.21557624530e+000, +8.89550668314e+001, +2.47407337881e-005, +1.31586952049e-001
+4.67499160000e+004, +7.26784205645e+000, +8.89523962708e+001, +2.47384325604e-005, +1.32878796390e-001
+4.70928880000e+004, +7.32064829351e+000, +8.89489914777e+001, +2.47366724485e-005, +1.34279214396e-001
+4.74383760000e+004, +7.37422784808e+000, +8.89483389999e+001, +2.47362413122e-005, +1.35345961745e-001
+4.77863980000e+004, +7.42821900347e+000, +8.89481598344e+001, +2.47358790286e-005, +1.36360135231e-001
+4.81369740000e+004, +7.48255203706e+000, +8.89458522810e+001, +2.47353228409e-005, +1.37658833500e-001
+4.84901220000e+004, +7.53710186280e+000, +8.89442764930e+001, +2.47341796772e-005, +1.38869659012e-001
+4.88458600000e+004, +7.59190015143e+000, +8.89410938117e+001, +2.47325380216e-005, +1.40300952091e-001
+4.92042090000e+004, +7.64694413092e+000, +8.89354409230e+001, +2.47303821106e-005, +1.42072513551e-001
+4.95651860000e+004, +7.70242097610e+000, +8.89279910984e+001, +2.47283205681e-005, +1.44104542683e-001
+4.99288120000e+004, +7.75825349881e+000, +8.89222366838e+001, +2.47261230396e-005, +1.45928164269e-001
+5.02951050000e+004, +7.81452797739e+000, +8.89156213885e+001, +2.47240365914e-005, +1.47888748470e-001
+5.06640850000e+004, +7.87109467518e+000, +8.89101899140e+001, +2.47215955955e-005, +1.49705287338e-001
+5.10357730000e+004, +7.92803572802e+000, +8.89048487114e+001, +2.47190453768e-005, +1.51527214550e-001
+5.14101870000e+004, +7.98542326509e+000, +8.88986651806e+001, +2.47165955940e-005, +1.53485705189e-001
+5.17873480000e+004, +8.04307258619e+000, +8.88935321996e+001, +2.47136824144e-005, +1.55314191908e-001
+5.21672760000e+004, +8.10153171439e+000, +8.88897440325e+001, +2.47119812602e-005, +1.56978596114e-001
+5.25499910000e+004, +8.16029251786e+000, +8.88841277949e+001, +2.47098917774e-005, +1.58916905440e-001
+5.29355140000e+004, +8.21971549532e+000, +8.88808486474e+001, +2.47085311637e-005, +1.60544473662e-001
+5.33238650000e+004, +8.28025911287e+000, +8.88783325332e+001, +2.47092299779e-005, +1.62090543162e-001
+5.37150660000e+004, +8.34107354213e+000, +8.88764244679e+001, +2.47094146697e-005, +1.63558739746e-001
+5.41091360000e+004, +8.40226071700e+000, +8.88716759472e+001, +2.47093583408e-005, +1.65454771397e-001
+5.45060970000e+004, +8.46355794556e+000, +8.88685682307e+001, +2.47083267679e-005, +1.67120791004e-001
+5.49059710000e+004, +8.52521904688e+000, +8.88648203878e+001, +2.47070479056e-005, +1.68895890797e-001
+5.53087780000e+004, +8.58717829946e+000, +8.88598718666e+001, +2.47053243185e-005, +1.70864896840e-001
+5.57145410000e+004, +8.64933631248e+000, +8.88536383013e+001, +2.47028707722e-005, +1.73042524821e-001
+5.61232800000e+004, +8.71174822243e+000, +8.88480639281e+001, +2.46998674519e-005, +1.75138571324e-001
+5.65350170000e+004, +8.77492534400e+000, +8.88419703380e+001, +2.46977462153e-005, +1.77341718546e-001
+5.69497760000e+004, +8.83858092867e+000, +8.88370475364e+001, +2.46956912711e-005, +1.79387448492e-001
+5.73675770000e+004, +8.90258508668e+000, +8.88313653475e+001, +2.46933159999e-005, +1.81569186527e-001
+5.77884430000e+004, +8.96708834502e+000, +8.88273241009e+001, +2.46910533221e-005, +1.83517081626e-001
+5.82123970000e+004, +9.03212848171e+000, +8.88231738336e+001, +2.46889796332e-005, +1.85502280984e-001
+5.86394610000e+004, +9.09773643402e+000, +8.88193337734e+001, +2.46871695330e-005, +1.87459356880e-001
+5.90696580000e+004, +9.16365414064e+000, +8.88143404888e+001, +2.46848998526e-005, +1.89616030199e-001
+5.95030120000e+004, +9.23032905478e+000, +8.88087518652e+001, +2.46833721662e-005, +1.91895811420e-001
+5.99395440000e+004, +9.29735160147e+000, +8.88052261808e+001, +2.46814983874e-005, +1.93861177018e-001
+6.03792790000e+004, +9.36473442876e+000, +8.88007641528e+001, +2.46792829754e-005, +1.95995330578e-001
+6.08222400000e+004, +9.43284322345e+000, +8.87969019397e+001, +2.46776946704e-005, +1.98056497925e-001
+6.12684510000e+004, +9.50146301843e+000, +8.87913623021e+001, +2.46761316517e-005, +2.00415716726e-001
+6.17179350000e+004, +9.57071561001e+000, +8.87855657012e+001, +2.46749108617e-005, +2.02844522179e-001
+6.21707170000e+004, +9.64054190961e+000, +8.87788444960e+001, +2.46738576916e-005, +2.05455090181e-001
+6.26268210000e+004, +9.71113588539e+000, +8.87717750072e+001, +2.46734570220e-005, +2.08157501792e-001
+6.30862710000e+004, +9.78208448908e+000, +8.87648126043e+001, +2.46726476563e-005, +2.10866693502e-001
+6.35490910000e+004, +9.85331708260e+000, +8.87581026115e+001, +2.46712537819e-005, +2.13555879825e-001
+6.40153070000e+004, +9.92520799280e+000, +8.87518483811e+001, +2.46702106916e-005, +2.16197156853e-001
+6.44849430000e+004, +9.99653550815e+000, +8.87408034741e+001, +2.46664377775e-005, +2.19677428689e-001
+6.49580240000e+004, +1.00679248192e+001, +8.87413740700e+001, +2.46616707839e-005, +2.21145994212e-001
+6.54345760000e+004, +1.01407803091e+001, +8.87388970625e+001, +2.46592013112e-005, +2.23184593753e-001
+6.59146250000e+004, +1.02137666696e+001, +8.87351817208e+001, +2.46557631989e-005, +2.25453073167e-001
+6.63981950000e+004, +1.02875989422e+001, +8.87299434617e+001, +2.46530795359e-005, +2.28023118463e-001
+6.68853120000e+004, +1.03619207233e+001, +8.87252997989e+001, +2.46502967245e-005, +2.30510047459e-001
+6.73760040000e+004, +1.04372925156e+001, +8.87173914617e+001, +2.46486938528e-005, +2.33627023783e-001
+6.78702950000e+004, +1.05133773661e+001, +8.87109490882e+001, +2.46474915095e-005, +2.36511930467e-001
+6.83682120000e+004, +1.05896303688e+001, +8.87034109263e+001, +2.46453788766e-005, +2.39620217664e-001
+6.88697830000e+004, +1.06666644513e+001, +8.86975866919e+001, +2.46438091733e-005, +2.42447340409e-001
+6.93750330000e+004, +1.07440666178e+001, +8.86910315598e+001, +2.46417913347e-005, +2.45435543395e-001
+6.98839900000e+004, +1.08220636942e+001, +8.86858849725e+001, +2.46398628171e-005, +2.48189130750e-001
+7.03966800000e+004, +1.09006128644e+001, +8.86803347695e+001, +2.46378986213e-005, +2.51046203856e-001
+7.09131320000e+004, +1.09796070662e+001, +8.86752930828e+001, +2.46356584575e-005, +2.53831359869e-001
+7.14333730000e+004, +1.10592784895e+001, +8.86697950314e+001, +2.46336470648e-005, +2.56734192284e-001
+7.19574300000e+004, +1.11391113000e+001, +8.86621770372e+001, +2.46306930890e-005, +2.60068105334e-001
+7.24853320000e+004, +1.12196556333e+001, +8.86605573874e+001, +2.46280961930e-005, +2.62265670713e-001
+7.30171070000e+004, +1.13009506673e+001, +8.86565515941e+001, +2.46258422206e-005, +2.64955868525e-001
+7.35527830000e+004, +1.13828735647e+001, +8.86516111279e+001, +2.46236629441e-005, +2.67857832498e-001
+7.40923890000e+004, +1.14653613333e+001, +8.86468974263e+001, +2.46214236549e-005, +2.70741894784e-001
+7.46359530000e+004, +1.15483292000e+001, +8.86420721740e+001, +2.46189326679e-005, +2.73673377837e-001
+7.51835060000e+004, +1.16322240134e+001, +8.86362068764e+001, +2.46171218059e-005, +2.76851965340e-001
+7.57350750000e+004, +1.17171136345e+001, +8.86294840222e+001, +2.46161118875e-005, +2.80246822254e-001
+7.62906910000e+004, +1.18026175029e+001, +8.86231463688e+001, +2.46150945107e-005, +2.83597027916e-001
+7.68503830000e+004, +1.18884151736e+001, +8.86168928910e+001, +2.46133942720e-005, +2.86955771698e-001
+7.74141810000e+004, +1.19747616773e+001, +8.86099416757e+001, +2.46115327459e-005, +2.90492326033e-001
+7.79821160000e+004, +1.20621060631e+001, +8.86038722278e+001, +2.46104364031e-005, +2.93888572095e-001
+7.85542170000e+004, +1.21491342843e+001, +8.85986705263e+001, +2.46074183532e-005, +2.97111633790e-001
+7.91305150000e+004, +1.22368232360e+001, +8.85940576153e+001, +2.46044727044e-005, +3.00240996924e-001
+7.97110410000e+004, +1.23245876348e+001, +8.85873075295e+001, +2.46003918783e-005, +3.03845907547e-001
+8.02958250000e+004, +1.24131347104e+001, +8.85844025206e+001, +2.45966561144e-005, +3.06658093687e-001
+8.08849000000e+004, +1.25029219389e+001, +8.85791373259e+001, +2.45940835556e-005, +3.10024830263e-001
+8.14782970000e+004, +1.25932583445e+001, +8.85730132371e+001, +2.45913059561e-005, +3.13610450179e-001
+8.20760470000e+004, +1.26842703637e+001, +8.85660767062e+001, +2.45885641845e-005, +3.17412072854e-001
+8.26781820000e+004, +1.27761131897e+001, +8.85585255110e+001, +2.45861488375e-005, +3.21393629206e-001
+8.32847350000e+004, +1.28685504787e+001, +8.85517711327e+001, +2.45836070218e-005, +3.25235506600e-001
+8.38957380000e+004, +1.29616421767e+001, +8.85449607217e+001, +2.45810371864e-005, +3.29128454940e-001
+8.45112230000e+004, +1.30555973277e+001, +8.85382098034e+001, +2.45788258146e-005, +3.33051998041e-001
+8.51312230000e+004, +1.31502637832e+001, +8.85326451010e+001, +2.45766839882e-005, +3.36743733891e-001
+8.57557720000e+004, +1.32456463468e+001, +8.85266648418e+001, +2.45745924558e-005, +3.40568292899e-001
+8.63849030000e+004, +1.33416060000e+001, +8.85210239711e+001, +2.45722932207e-005, +3.44348648997e-001
+8.70186490000e+004, +1.34382019063e+001, +8.85149073992e+001, +2.45698810560e-005, +3.48275908552e-001
+8.76570450000e+004, +1.35354852487e+001, +8.85090225490e+001, +2.45674495857e-005, +3.52186947703e-001
+8.83001240000e+004, +1.36329937557e+001, +8.85030591066e+001, +2.45641540977e-005, +3.56142535995e-001
+8.89479210000e+004, +1.37311509914e+001, +8.84974332171e+001, +2.45607664546e-005, +3.60054557819e-001
+8.96004710000e+004, +1.38302071047e+001, +8.84910690156e+001, +2.45577117430e-005, +3.64187658018e-001
+9.02578080000e+004, +1.39298957152e+001, +8.84850677797e+001, +2.45545166046e-005, +3.68271263017e-001
+9.09199670000e+004, +1.40302986785e+001, +8.84788457513e+001, +2.45513118558e-005, +3.72448747686e-001
+9.15869840000e+004, +1.41318093835e+001, +8.84727851646e+001, +2.45487761955e-005, +3.76637748254e-001
+9.22588940000e+004, +1.42341589113e+001, +8.84658069450e+001, +2.45464101180e-005, +3.81098545399e-001
+9.29357340000e+004, +1.43366996041e+001, +8.84599951209e+001, +2.45431154451e-005, +3.85297647274e-001
+9.36175390000e+004, +1.44403951491e+001, +8.84553834754e+001, +2.45405422075e-005, +3.89246319894e-001
+9.43043460000e+004, +1.45446908179e+001, +8.84496814665e+001, +2.45377035506e-005, +3.93504591835e-001
+9.49961920000e+004, +1.46498683082e+001, +8.84437881422e+001, +2.45350779423e-005, +3.97856455436e-001
+9.56931140000e+004, +1.47553110533e+001, +8.84374618693e+001, +2.45316236982e-005, +4.02348629779e-001
+9.63951480000e+004, +1.48617993683e+001, +8.84310139543e+001, +2.45286415186e-005, +4.06924241970e-001
+9.71023330000e+004, +1.49690023989e+001, +8.84244637046e+001, +2.45255698629e-005, +4.11570183254e-001
+9.78147050000e+004, +1.50771269880e+001, +8.84174490347e+001, +2.45227342194e-005, +4.16388228424e-001
+9.85323040000e+004, +1.51855867043e+001, +8.84068785770e+001, +2.45191361207e-005, +4.22184085863e-001
+9.92551680000e+004, +1.52939214677e+001, +8.84058477240e+001, +2.45142006560e-005, +4.25471027468e-001
+9.99833340000e+004, +1.54049158619e+001, +8.84022108350e+001, +2.45122376032e-005, +4.29536307231e-001
+1.00716843000e+005, +1.55162320100e+001, +8.83973591534e+001, +2.45094956636e-005, +4.33953511144e-001
+1.01455733000e+005, +1.56283207484e+001, +8.83920934299e+001, +2.45066991082e-005, +4.38524121547e-001
+1.02200043000e+005, +1.57411614987e+001, +8.83862681209e+001, +2.45038062569e-005, +4.43290170031e-001
+1.02949815000e+005, +1.58546969592e+001, +8.83805315857e+001, +2.45007287190e-005, +4.48074229166e-001
+1.03705086000e+005, +1.59686922630e+001, +8.83739783841e+001, +2.44970909771e-005, +4.53121569593e-001
+1.04465899000e+005, +1.60835919869e+001, +8.83677978581e+001, +2.44935868680e-005, +4.58116164997e-001
+1.05232293000e+005, +1.61994857487e+001, +8.83609533376e+001, +2.44903279075e-005, +4.63351611670e-001
+1.06004310000e+005, +1.63161501485e+001, +8.83547477465e+001, +2.44869800213e-005, +4.68454990855e-001
+1.06781990000e+005, +1.64335621849e+001, +8.83484414397e+001, +2.44834933539e-005, +4.73634047178e-001
+1.07565376000e+005, +1.65519188510e+001, +8.83417481366e+001, +2.44801494331e-005, +4.78978013170e-001
+1.08354509000e+005, +1.66711581380e+001, +8.83356468877e+001, +2.44768573634e-005, +4.84203062918e-001
+1.09149431000e+005, +1.67913318944e+001, +8.83289417849e+001, +2.44736680139e-005, +4.89657624431e-001
+1.09950185000e+005, +1.69123933038e+001, +8.83225838794e+001, +2.44705139797e-005, +4.95063842510e-001
+1.10756813000e+005, +1.70342645126e+001, +8.83166559513e+001, +2.44672750505e-005, +5.00392926122e-001
+1.11569359000e+005, +1.71571692678e+001, +8.83094962273e+001, +2.44642421943e-005, +5.06146379251e-001
+1.12387867000e+005, +1.72809378685e+001, +8.83038217864e+001, +2.44611954607e-005, +5.11508340861e-001
+1.13212379000e+005, +1.74054840617e+001, +8.82975585557e+001, +2.44579796281e-005, +5.17096680971e-001
+1.14042940000e+005, +1.75309789632e+001, +8.82917986381e+001, +2.44548415685e-005, +5.22586588952e-001
+1.14879594000e+005, +1.76573708029e+001, +8.82856726765e+001, +2.44516881174e-005, +5.28241296237e-001
+1.15722386000e+005, +1.77845785130e+001, +8.82801408533e+001, +2.44484112946e-005, +5.33763170407e-001
+1.16571362000e+005, +1.79125890956e+001, +8.82750526798e+001, +2.44449851959e-005, +5.39195128836e-001
+1.17426565000e+005, +1.80413516775e+001, +8.82694902514e+001, +2.44413240615e-005, +5.44821777547e-001
+1.18288043000e+005, +1.81710859297e+001, +8.82640085265e+001, +2.44377260530e-005, +5.50477265274e-001
+1.19155840000e+005, +1.83017908777e+001, +8.82586680857e+001, +2.44341808473e-005, +5.56141951141e-001
+1.20030005000e+005, +1.84333421612e+001, +8.82530933427e+001, +2.44305082217e-005, +5.61932128455e-001
+1.20910582000e+005, +1.85658992098e+001, +8.82465841045e+001, +2.44269031462e-005, +5.68081314367e-001
+1.21797619000e+005, +1.86986314350e+001, +8.82394628158e+001, +2.44222740798e-005, +5.74465627839e-001
+1.22691164000e+005, +1.88325541101e+001, +8.82347940954e+001, +2.44179908060e-005, +5.80113880965e-001
+1.23591265000e+005, +1.89680610567e+001, +8.82294415952e+001, +2.44145035664e-005, +5.86059136472e-001
+1.24497968000e+005, +1.91044876231e+001, +8.82241430621e+001, +2.44109468143e-005, +5.92040206144e-001
+1.25411324000e+005, +1.92420002325e+001, +8.82188542163e+001, +2.44075232139e-005, +5.98076995849e-001
+1.26331380000e+005, +1.93805202245e+001, +8.82136789554e+001, +2.44041236567e-005, +6.04132157537e-001
+1.27258186000e+005, +1.95201477287e+001, +8.82071801862e+001, +2.44008446175e-005, +6.10697635985e-001
+1.28191792000e+005, +1.96600394719e+001, +8.82030053313e+001, +2.43966762351e-005, +6.16506044723e-001
+1.29132246000e+005, +1.98016702198e+001, +8.81988370045e+001, +2.43934159972e-005, +6.22387230453e-001
+1.30079600000e+005, +1.99445963003e+001, +8.81926614486e+001, +2.43904653491e-005, +6.29028185122e-001
+1.31033904000e+005, +2.00882791302e+001, +8.81855657847e+001, +2.43871686894e-005, +6.36046310116e-001
+1.31995210000e+005, +2.02330064640e+001, +8.81750361471e+001, +2.43838367350e-005, +6.44345230717e-001
+1.32963567000e+005, +2.03762540814e+001, +8.81716078185e+001, +2.43775835790e-005, +6.50125735349e-001
+1.33939029000e+005, +2.05235851497e+001, +8.81655154497e+001, +2.43749407560e-005, +6.57007684361e-001
+1.34921647000e+005, +2.06694739424e+001, +8.81597170604e+001, +2.43693456006e-005, +6.63768619467e-001
+1.35911474000e+005, +2.08182337444e+001, +8.81565512825e+001, +2.43659340132e-005, +6.69695494256e-001
+1.36908563000e+005, +2.09680288467e+001, +8.81514567698e+001, +2.43624552611e-005, +6.76377633925e-001
+1.37912966000e+005, +2.11187915923e+001, +8.81462147973e+001, +2.43588478581e-005, +6.83172016691e-001
+1.38924739000e+005, +2.12704527873e+001, +8.81405403580e+001, +2.43550221115e-005, +6.90183576059e-001
+1.39943933000e+005, +2.14230538650e+001, +8.81347191110e+001, +2.43510253422e-005, +6.97310606268e-001
+1.40970605000e+005, +2.15770985688e+001, +8.81287523790e+001, +2.43474204068e-005, +7.04570516515e-001
+1.42004809000e+005, +2.17320560545e+001, +8.81226670960e+001, +2.43435957742e-005, +7.11937328586e-001
+1.43046601000e+005, +2.18883190115e+001, +8.81167952600e+001, +2.43399885293e-005, +7.19298438341e-001
+1.44096035000e+005, +2.20455714447e+001, +8.81106723253e+001, +2.43362301408e-005, +7.26820731690e-001
+1.45153168000e+005, +2.22036082990e+001, +8.81051630088e+001, +2.43321022394e-005, +7.34164890542e-001
+1.46218056000e+005, +2.23630523765e+001, +8.80999400827e+001, +2.43282773424e-005, +7.41474364254e-001
+1.47290757000e+005, +2.25233275667e+001, +8.80964635422e+001, +2.43241384395e-005, +7.48154381203e-001
+1.48371328000e+005, +2.26849048571e+001, +8.80924054947e+001, +2.43201563496e-005, +7.55127271762e-001
+1.49459826000e+005, +2.28476000515e+001, +8.80878192013e+001, +2.43161235076e-005, +7.62370854359e-001
+1.50556309000e+005, +2.30118416992e+001, +8.80827767710e+001, +2.43124858563e-005, +7.69875285792e-001
+1.51660837000e+005, +2.31777350556e+001, +8.80773400702e+001, +2.43093368504e-005, +7.77623411764e-001
+1.52773467000e+005, +2.33456918993e+001, +8.80674305058e+001, +2.43070275457e-005, +7.87293897436e-001
+1.53894261000e+005, +2.35096491030e+001, +8.80482473582e+001, +2.42991918409e-005, +8.00689798733e-001
+1.55023277000e+005, +2.36737698650e+001, +8.80521119829e+001, +2.42906766516e-005, +8.04683529560e-001
+1.56160575000e+005, +2.38455727271e+001, +8.80534615181e+001, +2.42887861231e-005, +8.09961866278e-001
+1.57306218000e+005, +2.40181430392e+001, +8.80494113965e+001, +2.42863329703e-005, +8.17520368729e-001
+1.58460265000e+005, +2.41913599634e+001, +8.80447262527e+001, +2.42832663123e-005, +8.25393267331e-001
+1.59622778000e+005, +2.43664194513e+001, +8.80393400494e+001, +2.42807810301e-005, +8.33655457960e-001
+1.60793820000e+005, +2.45430898344e+001, +8.80321298898e+001, +2.42786095550e-005, +8.42786646359e-001
+1.61973453000e+005, +2.47209085939e+001, +8.80133661644e+001, +2.42761384001e-005, +8.56983775638e-001
+1.63161741000e+005, +2.48881344730e+001, +8.80098018799e+001, +2.42623069369e-005, +8.64328208459e-001
+1.64358746000e+005, +2.50676559227e+001, +8.80173334475e+001, +2.42594507886e-005, +8.67269544118e-001
+1.65564532000e+005, +2.52491897353e+001, +8.80157295200e+001, +2.42571502200e-005, +8.74256495030e-001
+1.66779165000e+005, +2.54316223076e+001, +8.80110217632e+001, +2.42544074987e-005, +8.82661601750e-001
+1.68002709000e+005, +2.56149419538e+001, +8.80062313775e+001, +2.42512555906e-005, +8.91164442782e-001
+1.69235228000e+005, +2.57992375521e+001, +8.79962480798e+001, +2.42477026189e-005, +9.02068795568e-001
+1.70476790000e+005, +2.59808272432e+001, +8.79952912976e+001, +2.42405214896e-005, +9.08851656672e-001
+1.71727461000e+005, +2.61681011575e+001, +8.79936971770e+001, +2.42374139754e-005, +9.16130423258e-001
+1.72987306000e+005, +2.63562878431e+001, +8.79898931378e+001, +2.42338723086e-005, +9.24467531223e-001
+1.74256395000e+005, +2.65455438504e+001, +8.79853180140e+001, +2.42300601496e-005, +9.33224214794e-001
+1.75534794000e+005, +2.67363475972e+001, +8.79808912812e+001, +2.42264217410e-005, +9.41996431718e-001
+1.76822571000e+005, +2.69278335423e+001, +8.79756908627e+001, +2.42221522728e-005, +9.51185586000e-001
+1.78119796000e+005, +2.71208234269e+001, +8.79710001111e+001, +2.42180092579e-005, +9.60221633467e-001
+1.79426538000e+005, +2.73154398362e+001, +8.79670796235e+001, +2.42140940717e-005, +9.68979987441e-001
+1.80742867000e+005, +2.75113235660e+001, +8.79623936742e+001, +2.42100541337e-005, +9.78177310940e-001
+1.82068852000e+005, +2.77089211224e+001, +8.79579383863e+001, +2.42062883518e-005, +9.87356244594e-001
+1.83404566000e+005, +2.79076045068e+001, +8.79531881298e+001, +2.42022292703e-005, +9.96748240332e-001
+1.84750078000e+005, +2.81079686508e+001, +8.79493223911e+001, +2.41984047413e-005, +1.00579967649e+000
+1.86105462000e+005, +2.83095497619e+001, +8.79452310007e+001, +2.41943878176e-005, +1.01503317886e+000
+1.87470789000e+005, +2.85126886867e+001, +8.79416028086e+001, +2.41904736746e-005, +1.02412105550e+000
+1.88846133000e+005, +2.87172217857e+001, +8.79376981764e+001, +2.41865023353e-005, +1.03342326766e+000
+1.90231566000e+005, +2.89231099758e+001, +8.79337059876e+001, +2.41824365904e-005, +1.04284636127e+000
+1.91627164000e+005, +2.91309037439e+001, +8.79294030913e+001, +2.41787229948e-005, +1.05252483223e+000
+1.93033000000e+005, +2.93401067262e+001, +8.79255057728e+001, +2.41749471768e-005, +1.06207795658e+000
+1.94449150000e+005, +2.95508105963e+001, +8.79205251297e+001, +2.41711539766e-005, +1.07227231673e+000
+1.95875689000e+005, +2.97632015774e+001, +8.79161719946e+001, +2.41675121110e-005, +1.08223888835e+000
+1.97312694000e+005, +2.99770583478e+001, +8.79110121536e+001, +2.41638092354e-005, +1.09271290244e+000
+1.98760241000e+005, +3.01918133850e+001, +8.79076765604e+001, +2.41596240722e-005, +1.10229758478e+000
+2.00218407000e+005, +3.04089908840e+001, +8.79021453934e+001, +2.41561079371e-005, +1.11316032829e+000
+2.01687271000e+005, +3.06253099022e+001, +8.78968442993e+001, +2.41506866712e-005, +1.12391056198e+000
+2.03166912000e+005, +3.08441358196e+001, +8.78956730293e+001, +2.41460881660e-005, +1.13257130623e+000
+2.04657407000e+005, +3.10657781575e+001, +8.78923999357e+001, +2.41424317224e-005, +1.14248330372e+000
+2.06158837000e+005, +3.12889422540e+001, +8.78885975372e+001, +2.41387127753e-005, +1.15276550959e+000
+2.07671282000e+005, +3.15137011214e+001, +8.78846501566e+001, +2.41349856383e-005, +1.16321586021e+000
+2.09194823000e+005, +3.17403728996e+001, +8.78802990320e+001, +2.41314795032e-005, +1.17399140429e+000
+2.10729540000e+005, +3.19685268388e+001, +8.78760032878e+001, +2.41278628517e-005, +1.18482540069e+000
+2.12275518000e+005, +3.21980212759e+001, +8.78715144731e+001, +2.41240189762e-005, +1.19585178413e+000
+2.13832836000e+005, +3.24293651285e+001, +8.78680264313e+001, +2.41203416446e-005, +1.20641688342e+000
+2.15401580000e+005, +3.26625323054e+001, +8.78643527730e+001, +2.41167807125e-005, +1.21718380793e+000
+2.16981833000e+005, +3.28969954341e+001, +8.78606722785e+001, +2.41129411612e-005, +1.22803290645e+000
+2.18573679000e+005, +3.31328838114e+001, +8.78565424511e+001, +2.41089074772e-005, +1.23922505420e+000
+2.20177203000e+005, +3.33706833911e+001, +8.78529107529e+001, +2.41050409735e-005, +1.25023287601e+000
+2.21792491000e+005, +3.36102575624e+001, +8.78490658837e+001, +2.41012202870e-005, +1.26146237502e+000
